,Name,obs Mode,J2000_RA,J2000_Dec
46,Cir X-1,Point,230.1702,-57.1667
23,Cir X-1,Point,230.1702,-57.1667
99,Cir X-1,Point,230.1702,-57.1667
53,Cir X-1,Point,230.1702,-57.1667
104,Cir X-1,Point,230.1702,-57.1667
67,Cir X-1,Point,230.1702,-57.1667
63,Cir X-1,Point,230.1702,-57.1667
87,Cir X-1,Point,230.1702,-57.1667
102,Crab,Point,83.6331,22.0145
8,Cyg X-1,Point,299.5903,35.2016
2,Cyg X-1,Point,299.5903,35.2016
48,Cyg X-1,Point,299.5903,35.2016
38,Cyg X-1,Point,299.5903,35.2016
28,Cyg X-1,Point,299.5903,35.2016
14,Cyg X-1,Point,299.5903,35.2016
22,Cyg X-1,Point,299.5903,35.2016
21,Cyg X-3,Point,308.1074,40.9577
37,Cyg X-3,Point,308.1074,40.9577
13,Cyg X-3,Point,308.1074,40.9577
1,Cyg X-3,Point,308.1074,40.9577
7,Cyg X-3,Point,308.1074,40.9577
27,Cyg X-3,Point,308.1074,40.9577
47,Cyg X-3,Point,308.1074,40.9577
62,EXO 1846-031,Point,282.3205,-3.0654
66,EXO 1846-031,Point,282.3205,-3.0654
98,EXO 1846-031,Point,282.3205,-3.0654
16,EXO 1846-031,Point,282.3205,-3.0654
77,EXO 1846-031,Point,282.3205,-3.0654
20,EXO 1846-031,Point,282.3205,-3.0654
36,EXO 1846-031,Point,282.3205,-3.0654
5,EXO 1846-031,Point,282.3205,-3.0654
86,EXO 1846-031,Point,282.3205,-3.0654
24,EXO 1846-031,Point,282.3205,-3.0654
26,EXO 1846-031,Point,282.3205,-3.0654
45,EXO 1846-031,Point,282.3205,-3.0654
30,EXO 1846-031,Point,282.3205,-3.0654
101,EXO 1846-031,Point,282.3205,-3.0654
52,EXO 1846-031,Point,282.3205,-3.0654
12,EXO 1846-031,Point,282.3205,-3.0654
44,GX 301-2,Point,186.6565,-62.7704
95,GX 349+2,Point,256.4354,-36.4231
76,GX 349+2,Point,256.4354,-36.4231
40,GX 349+2,Point,256.4353,-36.423
15,PKS 1502+106,Point,226.1042,10.4941
4,PKS 1502+106,Point,226.1042,10.4941
6,PKS 1502+106,Point,226.1042,10.4941
11,PKS 1502+106,Point,226.1042,10.4941
84,blank_sky10,Point,345.6353,27.1995
31,blank_sky2,Point,57.3952,-24.3781
81,blank_sky2,Point,57.3952,-24.3781
32,blank_sky3,Point,50.3109,-57.196
83,blank_sky3,Point,50.3109,-57.196
80,blank_sky4,Point,327.119,-42.4725
82,blank_sky8,Point,50.1817,17.5512
35,blanksky10,Point,345.6353,27.1995
33,blanksky6,Point,322.5919,-23.0951
34,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
54,Cas A,Point,350.8499,58.815
13,Cen X-3,Point,170.3129,-60.6238
74,Cyg X-1,Point,299.5903,35.2016
50,Cyg X-1,Point,299.5903,35.2016
82,Cyg X-1,Point,299.5903,35.2016
60,Cyg X-1,Point,299.5903,35.2016
86,Cyg X-1,Point,299.5903,35.2016
56,Cyg X-1,Point,299.5903,35.2016
97,Cyg X-1,Point,299.5903,35.2016
71,Cyg X-1,Point,299.5903,35.2016
105,Cyg X-1,Point,299.5903,35.2016
116,Cyg X-1,Point,299.5903,35.2016
53,Cyg X-1,Point,299.5903,35.2016
61,Cyg X-2,Point,326.1715,38.3214
75,Cyg X-2,Point,326.1715,38.3214
83,Cyg X-2,Point,326.1715,38.3214
57,Cyg X-2,Point,326.1715,38.3214
72,Cyg X-2,Point,326.1715,38.3214
87,Cyg X-2,Point,326.1715,38.3214
95,Cyg X-3,Point,308.1074,40.9577
85,Cyg X-3,Point,308.1074,40.9577
102,Cyg X-3,Point,308.1074,40.9577
113,Cyg X-3,Point,308.1074,40.9577
106,Cyg X-3,Point,308.1074,40.9577
125,Cyg X-3,Point,308.1074,40.9577
115,Cyg X-3,Point,308.1074,40.9577
11,GRO J1008-57,Point,152.4333,-58.295
51,GS 1826-238,Point,277.3675,-23.7969
69,GX 17+2,Point,274.0057,-14.0362
126,GX 17+2,Point,274.0057,-14.0362
26,GX 301-2,Point,186.6565,-62.7703
58,GX 301-2,Point,186.6565,-62.7704
1,MAXI J1348-630,Point,207.0535,-63.2746
43,MAXI J1348-630,Point,207.0535,-63.2746
52,MAXI J1348-630,Point,207.0535,-63.2746
114,MAXI J1348-630,Point,207.0535,-63.2746
104,MAXI J1348-630,Point,207.0535,-63.2746
55,MAXI J1348-630,Point,207.0535,-63.2746
12,MAXI J1348-630,Point,207.0535,-63.2746
96,MAXI J1348-630,Point,207.0535,-63.2746
59,MAXI J1348-630,Point,207.0535,-63.2746
34,MAXI J1348-630,Point,207.0535,-63.2746
84,MAXI J1348-630,Point,207.0535,-63.2746
73,MAXI J1348-630,Point,207.0535,-63.2746
25,MAXI J1348-630,Point,207.0535,-63.2746
70,MAXI J1348-630,Point,207.0535,-63.2746
49,MAXI J1348-630,Point,207.0535,-63.2746
98,blank_sky1,Point,49.5352,-7.315
44,blank_sky4,Point,327.119,-42.4725
99,blank_sky4,Point,327.119,-42.4725
100,blanksky10,Point,345.6353,27.1995
45,blanksky10,Point,345.6353,27.1995
46,blanksky11,Point,319.0534,3.8279
101,blanksky11,Point,319.0534,3.8279
103,blanksky14,Point,258.4627,57.472
47,blanksky14,Point,258.4627,57.472
48,blanksky16,Point,176.7384,-20.6881
,Name,obs Mode,J2000_RA,J2000_Dec
34,4U1901+03,Point,285.9046,3.1919
43,4U1901+03,Point,285.9046,3.1919
24,4U1901+03,Point,285.9046,3.1919
7,4U1901+03,Point,285.9046,3.1919
13,4U1901+03,Point,285.9046,3.1919
124,9hr,Point,133,-70.5
125,Antlia,Point,157.5167,-35.3233
87,Aql X-1,Point,287.8171,0.58494
108,BLANK_SKY10,Point,345.6353,27.1995
40,BLANK_SKY11,Point,319.0534,3.8279
109,BLANK_SKY14,Point,258.4627,57.472
41,BLANK_SKY3,Point,50.3109,-57.196
101,BLANK_SKY3,Point,50.3109,-57.196
37,BLANK_SKY4,Point,327.119,-42.4725
102,BLANK_SKY4,Point,327.119,-42.4725
103,BLANK_SKY5,Point,352.7624,-70.3217
39,BLANK_SKY5,Point,352.7624,-70.3217
38,BLANK_SKY6,Point,322.5919,-23.0951
126,Centaurus,Point,192.2167,-41.3058
14,Cyg X-1,Point,299.5903,35.2016
8,Cyg X-1,Point,299.5903,35.2016
53,Cyg X-1,Point,299.5903,35.2016
94,Field 3,Point,326.1666,-40.8333
