cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010004,01038a115,55213.90261890,9.633,0.022,3.252,8.820,0.017,1.859,6.106,0.016,0.881,4.067,0.027,3.062,22214.8359,443.1480,18701.3730,294.2470,57201.1484,833.5410,3742.6670,92.1610,447.165,725.975,448.309,725.526,449.310,723.911,223.261,361.981,1.0,-4,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010003,01034a115,55213.77031420,9.625,0.022,3.337,8.739,0.019,3.156,6.104,0.020,0.887,4.140,0.038,2.902,22384.6367,463.7860,20159.6992,344.7610,57323.7383,1037.8430,3497.9990,122.0970,648.234,960.727,649.248,959.480,652.727,955.846,323.753,478.099,1.0,2,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010006,01042a115,55214.03492360,9.607,0.022,3.572,8.789,0.021,2.165,6.120,0.022,0.876,4.135,0.049,2.901,22760.5605,452.6370,19246.0547,380.6270,56515.1875,1153.1310,3515.4619,159.6250,227.910,508.076,229.418,508.601,227.961,508.969,113.759,254.232,1.0,26,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010007,01045a091,55214.10113960,9.612,0.022,3.507,8.818,0.018,1.875,6.105,0.017,0.884,4.161,0.040,2.927,22666.8750,466.1160,18744.6562,316.5100,57277.1406,887.0730,3431.3069,125.3850,663.113,833.768,663.463,832.416,666.336,829.300,331.175,415.277,1.0,48,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010008,01046b114,55214.16722830,9.622,0.020,3.375,8.806,0.020,1.970,6.098,0.017,0.913,4.110,0.028,2.920,22452.1055,403.6750,18944.9141,351.9100,57657.1133,904.5700,3598.2219,93.1920,28.879,253.362,30.420,254.833,26.533,257.314,14.462,128.340,1.0,69,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010009,01049a091,55214.23344440,9.603,0.021,3.640,8.799,0.022,2.043,6.119,0.015,0.876,4.122,0.054,2.905,22854.7012,451.7730,19070.0488,379.1030,56522.8281,770.1710,3558.2649,177.2830,460.299,591.797,460.787,591.296,461.137,590.250,229.824,295.612,1.0,89,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010010,01053a090,55214.36574910,9.615,0.020,3.460,8.792,0.022,2.125,6.127,0.015,0.896,4.130,0.036,2.901,22593.4453,416.6500,19190.8281,389.3630,56137.3672,779.9610,3530.9390,118.2550,264.369,356.061,265.022,356.445,262.966,357.402,131.995,179.066,1.0,101,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010011,01057a090,55214.49805380,9.617,0.032,3.438,8.746,0.020,2.977,6.149,0.018,1.054,4.192,0.046,3.013,22559.5195,664.0840,20028.5859,371.0300,55009.0586,926.8720,3335.6641,141.4290,67.838,102.056,68.466,103.336,64.048,106.465,33.951,53.538,1.0,59,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010012,06697b188,55401.10061550,9.690,0.024,3.016,8.843,0.019,1.771,6.125,0.021,0.889,4.201,0.035,3.049,21077.3320,459.2130,18320.0938,315.7390,56246.1016,1071.4680,3307.5100,105.1440,40.711,394.151,42.827,395.546,39.689,397.274,20.327,197.934,1.0,27,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
382009101351037001,0382m091_ac51-037001,37.5230254,-8.9981149,1,0,0000,0,382009110370010013,06701b189,55401.23291930,9.666,0.023,3.043,8.868,0.020,1.796,6.139,0.023,0.968,4.144,0.056,2.904,21549.9609,456.0380,17890.4102,333.2210,55497.6172,1167.1230,3487.3660,180.8840,206.178,455.571,207.601,456.201,205.732,456.929,102.924,228.278,1.0,8,0000,1023,0.7833482321043190,0.6015845505060520,-0.1564019688222280,100202322,8946043696261
