,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
88,89,H                    , 10.176                        ,+/- 0.021  ,mag                  ,182000000000000.0,0.0871,+/- 1.70E-03 ,Jy                   ,"Broad-band
",  54.6 x   48.0 arcsec integration area.,20032MASX.C.......:,89
89,90,H                    , 10.042                        ,+/- 0.022  ,mag                  ,182000000000000.0,0.0985,+/- 2.02E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,90
90,91,H_14arcsec (2MASS)   , 10.812                        ,+/- 0.005  ,mag                  ,182000000000000.0,0.0485,+/- 2.24E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,91
91,92,H (2MASS/CTIO)       , 11.649                        ,+/- 0.083  ,mag                  ,180000000000000.0,0.0224,+/- 1.71E-03 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,92
92,93,H (2MASS/CTIO)       , 11.131                        ,+/- 0.013  ,mag                  ,180000000000000.0,0.0361,+/- 4.33E-04 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,93
93,94,Pa{alpha} (IRTF)     , 2.82E-14                      ,           ...,erg/s/cm^2^          ,160000000000000.0,2820000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2010ApJ...724..386K,94
94,95,K_s (2MASS/CTIO)     , 10.579                        ,+/- 0.038  ,mag                  ,139000000000000.0,0.0391,+/- 1.37E-03 ,Jy                   ,"Broad-band
",Profile-fit                             ,2006AJ....131.1163S,95
95,96,K_s (2MASS/CTIO)     , 10.402                        ,+/- 0.022  ,mag                  ,139000000000000.0,0.046,+/- 9.33E-04 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,96
96,97,K_s                  , 9.666                         ,+/- 0.025  ,mag                  ,138000000000000.0,0.0907,+/- 2.11E-03 ,Jy                   ,"Broad-band
",  54.6 x   48.0 arcsec integration area.,20032MASX.C.......:,97
97,98,K_s_14arcsec (2MASS) , 10.174                        ,+/- 0.005  ,mag                  ,138000000000000.0,0.0568,+/- 2.62E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,98
98,99,K_s                  , 9.540                         ,+/- 0.024  ,mag                  ,138000000000000.0,0.102,+/- 2.28E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,99
99,100,6 microns (Spitzer)  , 30.2                          ,           ...,milliJy              ,50000000000000.0,0.0302,    ...      ,Jy                   ,"Broad-band
",AGN flux                                ,2010MNRAS.403.1246S,100
100,101,6 microns (ISO)      , 0.1132                        ,           ...,Jy                   ,50000000000000.0,0.113,    ...      ,Jy                   ,"Broad-band
",                                        ,2004A&A...418..465L,101
101,102,PAH 6.2 microns IRS  ,...                            ,<0.23E-20   ,W/cm^2^              ,48400000000000.0,,<   2.30E+09 ,Jy-Hz                ,"Line
",                                        ,2010MNRAS.403.1246S,102
102,103,PAH 6.2 (Spitzer)    ,...                            ,<0.13E-20   ,W/cm^2^              ,48400000000000.0,,<   1.30E+09 ,Jy-Hz                ,"Line
",                                        ,2011ApJ...730...19S,103
103,104,LW2 (ISOCAM)         , 146                           ,+/- 23     , milliJy             ,44400000000000.0,0.146,+/- 2.30E-02 ,Jy                   ,"Broad-band
",                                        ,2007AJ....134.2006R,104
104,105,7.9 microns Spitzer  , 40.0                          ,           ...,milliJy              ,37900000000000.0,0.04,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...730...19S,105
105,106,LW7 (ISOCAM)         , 303                           ,+/- 25     , milliJy             ,31200000000000.0,0.303,+/- 2.50E-02 ,Jy                   ,"Broad-band
",                                        ,2007AJ....134.2006R,106
106,107,SIV (VLT)            , 79.0                          ,+/- 1.3    ,milliJy              ,28600000000000.0,0.079,+/- 1.30E-03 ,Jy                   ,"Broad-band
",Nuclear flux                            ,2014MNRAS.439.1648A,107
107,108,SIV (ESO)            , 75.9                          ,+/- 20.9   , milliJy             ,28600000000000.0,0.0759,+/- 2.09E-02 ,Jy                   ,"Broad-band
",PSF fitting                             ,2008A&A...479..389H,108
108,109,[S IV] 10.51 (IRS)   ,...                            ,<16.58E-18  ,W/m^2^               ,28500000000000.0,,<   1.66E+09 ,Jy-Hz                ,"Line
",                                        ,2011ApJ...740...94D,109
109,110,N                    , 146.00                        ,+/- 5.00   ,milliJy              ,28300000000000.0,0.146,+/- 5.00E-03 ,Jy                   ,"Broad-band
","5.3"" aperture                           ",1995ApJ...446..561M,110
110,111,11.25 microns (VLT)  , 90                            ,+/- 10  %  , milliJy             ,26600000000000.0,0.09,+/- 9.00E-03 ,Jy                   ,"Broad-band
",                                        ,2007A&A...473..369H,111
111,112,PAH2 (ESO)           , 75.0                          ,+/- 2.1    , milliJy             ,26600000000000.0,0.075,+/- 2.10E-03 ,Jy                   ,"Broad-band
",PSF fitting                             ,2008A&A...479..389H,112
112,113,PAH2 (VLT)           , 86.3                          ,+/- 6.1    ,milliJy              ,26600000000000.0,0.0863,+/- 6.10E-03 ,Jy                   ,"Broad-band
",Nuclear flux                            ,2014MNRAS.439.1648A,113
113,114,PAH 11.3 (Spitzer)   , 0.30E-20                      ,           ...,W/cm^2^              ,26500000000000.0,3000000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJ...730...19S,114
114,115,12 microns (IRAS)    , 1.917E-01                     ,+/- 21  %  ,Jy                   ,25000000000000.0,0.192,+/- 4.03E-02 ,Jy                   ,"Broad-band
",IRAS quality flag = 2                   ,1990IRASF.C...0000M,115
115,116,Ne II (ESO)          , 106.3                         ,+/- 13.3   , milliJy             ,23400000000000.0,0.106,+/- 1.33E-02 ,Jy                   ,"Broad-band
",PSF fitting                             ,2008A&A...479..389H,116
116,117,[Ne II] 12.81 (IRS)  , 32.81E-18                     ,+/- 2.12E-18 ,W/m^2^               ,23400000000000.0,3280000000.0,+/- 2.12E+08 ,Jy-Hz                ,"Line
",                                        ,2011ApJ...740...94D,117
117,118,NEII (VLT)           , 109.2                         ,+/- 8.5    ,milliJy              ,23400000000000.0,0.109,+/- 8.50E-03 ,Jy                   ,"Broad-band
",Nuclear flux                            ,2014MNRAS.439.1648A,118
118,119,[Ne V] 14.32 (IRS)   , 9.57E-18                      ,+/- 1.64E-18 ,W/m^2^               ,20900000000000.0,957000000.0,+/- 1.64E+08 ,Jy-Hz                ,"Line
",                                        ,2011ApJ...740...94D,119
119,120,[Ne V] 14.32         , 1.01E-21                      ,           ...,W/cm^2^              ,20900000000000.0,1010000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2011ApJS..195...17W,120
120,121,[Ne V] 14.32 Spitzer , 1.01E-21                      ,+/- 0.16E-21 , W/cm^2^             ,20900000000000.0,1010000000.0,+/- 1.60E+08 ,Jy-Hz                ,"Line
",                                        ,2008ApJ...674L...9D,121
121,122,[Ne III] 15.56 (IRS) , 21.14E-18                     ,+/- 2.54E-18 ,W/m^2^               ,19300000000000.0,2110000000.0,+/- 2.54E+08 ,Jy-Hz                ,"Line
",                                        ,2011ApJ...740...94D,122
122,123,24 microns (MIPS)    , 2.2791E+05                    ,+/- 1.7531E+02 ,microJy              ,12700000000000.0,0.228,+/- 1.75E-04 ,Jy                   ,"Broad-band
",PSF fit                                 ,2013SSTSLC4.2....0C,123
123,124,24 microns (MIPS)    , 2.4812E+05                    ,+/- 1.7723E+02 ,microJy              ,12700000000000.0,0.248,+/- 1.77E-04 ,Jy                   ,"Broad-band
",PSF fit                                 ,2013SSTSLC4.2....0C,124
124,125,24 microns (MIPS)    , 2.4113E+05                    ,+/- 1.1994E+02 ,microJy              ,12700000000000.0,0.24100000000000002,+/- 1.20E-04 ,Jy                   ,"Broad-band
","14.7"" aperture                          ",2013SSTSLC4.2....0C,125
125,126,24 microns (MIPS)    , 2.2117E+05                    ,+/- 1.2070E+02 ,microJy              ,12700000000000.0,0.221,+/- 1.21E-04 ,Jy                   ,"Broad-band
","14.7"" aperture                          ",2013SSTSLC4.2....0C,126
126,127,25 microns (Spitzer) , 0.265                         ,           ...,Jy                   ,12000000000000.0,0.265,    ...      ,Jy                   ,"Broad-band
",                                        ,2011ApJ...730...19S,127
